time,az_deg,el_deg
0.0,0.0,0.0
0.04,0.014327526461329398,6.192318767447841
0.08,0.028662218476085854,12.243170540419245
0.12,0.043004079625234226,18.029655797189832
0.16,0.05735311348973937,23.4601573520579
0.2,0.07170932365056615,28.47884275996575
0.24,0.08607271368867941,33.062828293656885
0.28,0.10044328718493034,37.21506738064036
0.32,0.11482104772022694,40.956090113718496
0.36,0.1292059988754204,44.3166459602397
0.4,0.14359814423119133,47.33210824195435
0.44,0.15799748736839092,50.038691214896986
0.48,0.17240403186769981,52.471153830557945
0.52,0.18681778130968496,54.661574900889015
0.56,0.20123873927497016,56.638832885532864
0.6,0.21566690934400867,58.42851417261011
0.64,0.23010229509719693,60.05306079872554
0.68,0.24454490011493135,61.53203661874854
0.72,0.258994727977381,62.882438795634194
0.76,0.27345178226477174,64.11901296262468
0.8,0.2879160665571021,65.25455013395847
0.84,0.3023875844343138,66.30015529114958
0.88,0.3168663394762916,67.26548439029938
0.92,0.33135233526269303,68.15895024827697
0.96,0.34584557537323235,68.98789961921993
1.0,0.36034606338722597,69.75876454946814
1.04,0.37485380288410397,70.47719127649306
1.08,0.3893687974431259,71.1481498009429
1.12,0.4038910506432103,71.77602697684596
1.16,0.4184205660633893,72.36470562726231
1.2,0.4329573472822972,72.9176318520449
1.24,0.4475013978786251,73.43787237639043
1.28,0.4620527214307799,73.92816350458914
1.32,0.4766113215169412,74.3909529958868
1.36,0.49117720171528845,74.82843596752527
1.4,0.5057503656036033,75.24258575070023
1.44,0.5203308167596106,75.6351804744855
1.48,0.5349185587608645,76.00782602673726
1.52,0.549513595184635,76.36197593588157
1.56,0.564115929607965,76.69894862995902
1.6,0.5787255656077832,77.01994245645442
1.64,0.5933425067606777,77.32604878580094
1.68,0.6079667566431795,77.61826347093489
1.72,0.6225983188314217,77.89749689315167
1.76,0.637237196901367,78.16458278933062
1.8,0.6518833944287508,78.4202860261633
1.84,0.6665369149890239,78.66530946235069
1.88,0.6811977621573533,78.90030001901742
1.92,0.695865939508792,79.1258540611568
1.96,0.7105414506179386,79.34252217821573
2.0,0.7252242990592777,79.55081343950218
2.04,0.7399144884068392,79.75119918956894
2.08,0.7546120222344825,79.94411643979153
2.12,0.7693169041158399,80.12997090475264
2.16,0.7840291376241453,80.3091397255614
2.2,0.798748726332235,80.481973916694
2.24,0.8134756738128885,80.64880056819598
2.28,0.8282099836383736,80.80992483101167
2.32,0.842951659380617,80.96563170970384
2.36,0.8577007046114318,81.11618768380491
2.4,0.8724571229020057,81.26184217643313
2.44,0.8872209178234698,81.40282888654991
2.48,0.9019920929463865,81.53936699927635
2.52,0.916770651841091,81.67166228698649
2.56,0.9315565980774636,81.7999081124144
2.6,0.9463499352251574,81.9242863437208
2.64,0.9611506668533139,82.04496819033723
2.68,0.9759587965307333,82.16211496741808
2.72,0.9907743278258749,82.27587879586528
2.76,1.0055972643068003,82.38640324413029
2.8,1.0204276095411728,82.49382391732892
2.84,1.0352653670961445,82.59826899861503
2.88,1.0501105405386397,82.69985974723943
2.92,1.0649631334350147,82.79871095725973
2.96,1.0798231493512844,82.89493138046016
3.0,1.0946905918530092,82.9886241166794
3.04,1.1095654645053514,83.07988697442346
3.08,1.1244477708729619,83.16881280435615
3.12,1.1393375145200366,83.25548980800511
3.16,1.1542346990104306,83.34000182379582
3.2,1.1691393279074305,83.42242859232276
3.24,1.184051404773868,83.5028460025874
3.28,1.198970933172177,83.5813263207696
3.32,1.213897916664223,83.65793840295493
3.36,1.2288323588114167,83.7327478931096
3.4,1.2437742631746573,83.80581740747797
3.44,1.2587236333143892,83.87720670647224
3.48,1.273680472790545,83.94697285502899
3.52,1.2886447851624325,84.01517037232205
3.56,1.303616573989018,84.0818513716435
3.6,1.3185958428285858,84.14706569119537
3.64,1.3335825952389655,84.21086101647103
3.68,1.3485768347774183,84.27328299484834
3.72,1.3635785650007506,84.3343753429646
3.76,1.3785877894650298,84.39417994739675
3.8,1.3936045117259255,84.45273695912674
3.84,1.4086287353384819,84.510084882234
3.88,1.423660463857118,84.56626065722098
3.92,1.438699700835798,84.62129973934564
3.96,1.453746449827804,84.67523617230553
4.0,1.46880071438585,84.72810265759112
4.04,1.483862498061967,84.7799306198017
4.08,1.498931804407789,84.83075026819434
4.12,1.514008636974097,84.88059065471673
4.16,1.5290929993112172,84.92947972875491
4.2,1.544184894968737,84.97744438881061
4.24,1.559284327495675,85.02451053130632
4.28,1.5743913004404249,85.07070309670262
4.32,1.5895058173506982,85.11604611309802
4.36,1.6046278817735242,85.16056273747009
4.4,1.6197574972552502,85.20427529470489
4.44,1.6348946673417117,85.24720531455145
4.48,1.6500393955778918,85.28937356662907
4.52,1.6651916855081481,85.33080009360488
4.56,1.6803515406761562,85.37150424265316
4.6,1.6955189646249096,85.41150469529809
4.64,1.7106939608966059,85.45081949573657
4.68,1.725876533032931,85.48946607772987
4.72,1.7410666845746618,85.52746129014818
4.76,1.7562644190619494,85.56482142124548
4.8,1.7714697400340924,85.60156222173791
4.84,1.7866826510297642,85.63769892675349
4.88,1.8019031555868992,85.67324627671732
4.92,1.817131257242636,85.70821853723152
4.96,1.8323669595333172,85.74262951800581
5.0,1.8476102659946037,85.77649259089165
5.04,1.8628611801612465,85.80982070706801
5.08,1.8781197055674284,85.84262641342606
5.12,1.893385845746252,85.87492186819479
5.16,1.9086596042303086,85.90671885584908
5.2,1.9239409845512228,85.93802880133781
5.24,1.9392299902398804,85.96886278366807
5.28,1.954526624826201,85.999231548879
5.32,1.9698308918394787,86.02914552243715
