time,altitude_m,desired_theta_rad,desired_theta_deg,mount_theta_rad,mount_theta_deg,mount_ang_vel_rad_s,mount_ang_vel_deg_s,tracking_error_deg,distance_m,rx_gain_dbi,fspl_db,pr_dbm,snr_db
33.2,7245.155,1.5329518601421048,87.83167178287145,1.5331076727094315,87.84059918537436,-0.0003443840696384372,-0.019731753721821885,-0.008927402502915781,7250.346366652078,8.999999683691739,108.88338019058412,-85.88338050689238,31.147519363027058
33.25,7241.619,1.5329333987721503,87.83061402428902,1.5330901210990557,87.83959355217617,-0.0003510322075079843,-0.02011266396336803,-0.008979527887151596,7246.812899720883,8.99999967998723,108.87914607770064,-85.87914639771341,31.151753472206025
33.3,7238.083,1.5329149193902942,87.82955523370066,1.5330725081510312,87.83858440458958,-0.0003522589604827432,-0.020182951731326833,-0.009029170888915186,7243.279435261972,8.999999676439092,108.87490990277104,-85.87491022633195,31.15598964358749
33.35,7234.546,1.532896416736452,87.82849510972571,1.5330548100389914,87.83757037746436,-0.0003539622407942032,-0.02028054250450122,-0.00907526773864101,7239.744973997082,8.99999967312689,108.87067046489967,-85.87067079177278,31.160229078146656
33.4,7231.012,1.5328779117242215,87.82743485062507,1.5330370395174953,87.83655220158288,-0.00035541042992104377,-0.02036351762940592,-0.009117350957816763,7236.213513056673,8.999999670088354,108.86643255821798,-85.86643288812962,31.164466981789815
33.45,7223.941,1.532840831714044,87.82531032253759,1.5330154877882816,87.83531737845773,-0.00043103458426507426,-0.024696462502564798,-0.010007055920132355,7229.147600781229,8.999999602558734,108.85794694370549,-85.85794734114675,31.172952528772683
33.5,7223.941,1.532840831714044,87.82531032253759,1.5330001773537791,87.83444015517823,-0.0003062086900476022,-0.017544465589957182,-0.009129832640631944,7229.147600781229,8.999999669184435,108.85794694370549,-85.85794727452105,31.172952595398385
33.55,7216.873,1.53280369492559,87.82318254129451,1.5329783464755646,87.83318933799347,-0.00043661756428026415,-0.025016343694541063,-0.010006796698946373,7222.084696299885,8.999999602579326,108.84945664855658,-85.84945704597726,31.181442823942177
33.6,7213.34,1.5327851045438505,87.8221173908813,1.5329593463320403,87.83210070995939,-0.0003800028704787911,-0.021772560681291193,-0.00998331907808858,7218.554247077458,8.99999960444197,108.84520959369289,-85.84520998925092,31.18568988066852
33.65,7209.806,1.5327664906992056,87.82105089614262,1.5329400993986448,87.83099794190726,-0.0003849386679117827,-0.02205536104273312,-0.00994704576463846,7215.022801075267,8.999999607311182,108.8409592611873,-85.84095965387611,31.189940216043325
33.7,7202.742,1.5327292294122157,87.81891598165888,1.5329172109646425,87.82968653123926,-0.0004577686800466521,-0.026228213359947704,-0.010770549580374591,7207.963913683531,8.99999953959924,108.83245717726248,-85.83245763766324,31.1984422322562
33.75,7199.209,1.5327105661021896,87.81784665276264,1.5328969689907952,87.82852675156879,-0.0004048394769524672,-0.023195593409660133,-0.010680098806135836,7204.433474471189,8.999999547299636,108.82820181222364,-85.828202264924,31.202697604995436
33.8,7195.678,1.5326918950724524,87.81677688155953,1.532876618693372,87.82736076541461,-0.00040700594846576605,-0.02331972308380748,-0.010583883855067103,7200.905036318976,8.999999555419473,108.82394677511017,-85.8239472196907,31.206952650228743
33.85,7188.616,1.5326544980664178,87.81463419094733,1.5328527019598157,87.8259904375221,-0.0004783346711310059,-0.027406557850584858,-0.011356246574758465,7193.848167556499,8.999999488165058,108.81543045151595,-85.81543096335089,31.215468906568546
33.9,7185.086,1.5326357773421442,87.81356157245702,1.532831529098977,87.8247773219558,-0.0004234572167769451,-0.024262311325675353,-0.011215749498773847,7190.320736225611,8.999999500751343,108.81117036807767,-85.81117086732633,31.219729002593112
33.95,7185.086,1.5326357773421442,87.81356157245702,1.532814071209378,87.8237770585626,-0.00034915779198741256,-0.02000526786498545,-0.010215486105555118,7190.320736225611,8.999999585830249,108.81117036807767,-85.81117078224742,31.21972908767202
34.0,7181.555,1.5326170329296824,87.81248759673352,1.5327942387291227,87.82264074114669,-0.00039664960511842667,-0.022726348318816543,-0.010153144413180763,7186.792308145895,8.999999590869901,108.80690698955141,-85.8069073986815,31.223992471237935
34.05,7178.026,1.5325982807353737,87.81141317514302,1.5327747509583425,87.82152417412885,-0.0003897554156040427,-0.022331340356478997,-0.010110998985841328,7183.265881134847,8.99999959425943,108.80264393702288,-85.80264434276344,31.228255527155994
34.1,7178.026,1.5325982807353737,87.81141317514302,1.5327590527131232,87.82062473093202,-0.00031396490437707645,-0.017988863936034948,-0.009211555789014147,7183.265881134847,8.999999663235522,108.80264393702288,-85.80264427378737,31.228255596132072
34.15,7174.496,1.5325795047987045,87.81033739321546,1.5327407901525358,87.81957836328728,-0.0003652512117380272,-0.020927352894628153,-0.009240970071820847,7179.738457382414,8.999999661081379,108.7983775853162,-85.79837792423483,31.23252194568461
34.2,7174.496,1.5325795047987045,87.81033739321546,1.5327264878732114,87.81875890304457,-0.0002860455864883735,-0.01638920485412817,-0.008421509829114448,7179.738457382414,8.999999718524744,108.7983775853162,-85.79837786679145,31.232522003127983
34.25,7174.496,1.5325795047987045,87.81033739321546,1.5327132197936937,87.81799869808596,-0.0002653615903653856,-0.015204099172816002,-0.0076613048705041755,7179.738457382414,8.99999976704835,108.7983775853162,-85.79837781826785,31.232522051651586
34.3,7170.967,1.5325607157304502,87.80926085890351,1.532697417288496,87.81709328123239,-0.00031605010395985354,-0.018108337071570516,-0.007832422328886585,7176.21203543269,8.999999756526053,108.79411034957948,-85.79411059305343,31.236789276866006
34.35,7170.967,1.5325607157304502,87.80926085890351,1.532685327383211,87.81640058068486,-0.0002417981056961365,-0.013854010950646813,-0.007139721781349164,7176.21203543269,8.999999797687424,108.79411034957948,-85.79411055189206,31.236789318027377
34.4,7167.44,1.5325419188511522,87.80818387705172,1.532670315832604,87.81554048219112,-0.0003002310121438264,-0.01720196987478222,-0.007356605139409906,7172.687614555648,8.99999978520944,108.78984343962286,-85.78984365441342,31.24105621550602
34.45,7167.44,1.5325419188511522,87.80818387705172,1.53265897728952,87.81489083152658,-0.00022677086168965387,-0.012993013291362095,-0.006706954474869797,7172.687614555648,8.999999821470075,108.78984343962286,-85.78984361815279,31.24105625176665
34.5,7160.383,1.5325042535934743,87.8060258167525,1.5326408722484564,87.81385348908573,-0.00036210082127841346,-0.020746848817474007,-0.007827672333212443,7165.635782614757,8.999999756821275,108.78129970166596,-85.78129994484468,31.24959992507476
34.55,7156.855,1.532485395824568,87.80494534618315,1.5326252493332833,87.81295836198262,-0.0003124583034619378,-0.017902542062186957,-0.008013015799474096,7162.110370095185,8.999999745168974,108.77702528971514,-85.77702554454616,31.253874325373275
34.6,7149.803,1.5324476459710217,87.8027824388977,1.5326052763032196,87.81181399165588,-0.0003994606012689379,-0.022887406534468357,-0.009031552758175259,7155.063549767326,8.99999967626836,108.76847501171304,-85.76847533544468,31.26242453447476
34.65,7146.275,1.532428732419199,87.80169877220266,1.5325877278626416,87.81080854007372,-0.0003509688115599373,-0.020109031643106706,-0.009109767871075775,7151.538144904563,8.999999670636914,108.76419429168732,-85.76419462105041,31.26670524886903
34.7,7142.75,1.5324098163177786,87.80061495942643,1.5325697999420713,87.8097813458896,-0.0003585584114107474,-0.020543883682751243,-0.009166386463178529,7148.015740392574,8.999999666530107,108.75991510679582,-85.7599154402657,31.270984429653737
34.75,7139.224,1.5323908761899823,87.79952977004025,1.5325518063461399,87.80875038878446,-0.00035987191863018364,-0.020619142102784906,-0.009220618744211208,7144.492339178201,8.999999662572533,108.75563260094754,-85.755632938375,31.275266931544436
34.8,7135.7,1.532371928130853,87.79844412622218,1.5325337230782914,87.80771429385695,-0.0003616653569693541,-0.020721898550436324,-0.009270167634761219,7140.970939053036,8.999999658936316,108.75135041662037,-85.75135075768405,31.279549112235387
